quantity,creator_id,created_at,updated_at,deleted_at,manufacture_product_id,manufacture_dept_id,task_id,order_id,receiver
193.000000,403,2022-11-05 13:09:28+00:00,2022-11-05 13:09:28+00:00,,394,2,110.0,2109,TRANG TP
200.000000,403,2022-11-05 13:13:06+00:00,2022-11-05 13:13:06+00:00,,451,2,133.0,2145,TRANG TP
200.000000,403,2022-11-05 13:13:06+00:00,2022-11-05 13:13:06+00:00,,452,2,133.0,2145,TRANG TP
200.000000,403,2022-11-05 13:13:06+00:00,2022-11-05 13:13:06+00:00,,453,2,133.0,2145,TRANG TP
128.000000,403,2022-11-05 13:13:06+00:00,2022-11-05 13:13:06+00:00,,454,2,133.0,2145,TRANG TP
289.000000,403,2022-11-05 13:13:06+00:00,2022-11-05 13:13:06+00:00,,455,2,133.0,2145,TRANG TP
128.000000,403,2022-11-05 13:13:06+00:00,2022-11-05 13:13:06+00:00,,456,2,133.0,2145,TRANG TP
200.000000,403,2022-11-05 13:14:32+00:00,2022-11-05 13:14:32+00:00,,477,2,141.0,2147,TRANG TP
200.000000,403,2022-11-05 13:14:32+00:00,2022-11-05 13:14:32+00:00,,478,2,141.0,2147,TRANG TP
200.000000,403,2022-11-05 13:14:32+00:00,2022-11-05 13:14:32+00:00,,479,2,141.0,2147,TRANG TP
128.000000,403,2022-11-05 13:14:32+00:00,2022-11-05 13:14:32+00:00,,480,2,141.0,2147,TRANG TP
289.000000,403,2022-11-05 13:14:32+00:00,2022-11-05 13:14:32+00:00,,481,2,141.0,2147,TRANG TP
128.000000,403,2022-11-05 13:14:32+00:00,2022-11-05 13:14:32+00:00,,482,2,141.0,2147,TRANG TP
107.000000,400,2022-11-05 13:19:17+00:00,2022-11-05 13:19:17+00:00,,433,3,,1933,diem leam1
115.000000,400,2022-11-05 13:19:17+00:00,2022-11-05 13:19:17+00:00,,434,3,,1933,diem leam1
114.000000,400,2022-11-05 13:19:17+00:00,2022-11-05 13:19:17+00:00,,435,3,,1933,diem leam1
114.000000,400,2022-11-05 13:19:17+00:00,2022-11-05 13:19:17+00:00,,436,3,,1933,diem leam1
114.000000,400,2022-11-05 13:32:25+00:00,2022-11-05 13:32:25+00:00,,423,3,,2021,diem lean1
112.000000,400,2022-11-05 13:32:25+00:00,2022-11-05 13:32:25+00:00,,424,3,,2021,diem lean1
117.000000,400,2022-11-05 13:37:58+00:00,2022-11-05 13:37:58+00:00,,431,3,,2069,diem lean 1
110.000000,400,2022-11-05 13:43:24+00:00,2022-11-05 13:43:24+00:00,,421,3,,2070,diem lean 1
100.000000,401,2022-11-07 07:38:18+00:00,2022-11-07 07:38:18+00:00,,352,4,97.0,2112,nang
50.000000,393,2022-11-07 07:46:29+00:00,2022-11-07 07:46:29+00:00,,498,1,146.0,2055,Nàng TP
50.000000,393,2022-11-07 07:46:29+00:00,2022-11-07 07:46:29+00:00,,499,1,146.0,2055,Nàng TP
50.000000,393,2022-11-07 07:46:29+00:00,2022-11-07 07:46:29+00:00,,500,1,146.0,2055,Nàng TP
201.000000,393,2022-11-07 07:51:00+00:00,2022-11-07 07:51:00+00:00,,427,1,121.0,1961,Nàng TP
101.000000,393,2022-11-07 07:54:12+00:00,2022-11-07 07:54:12+00:00,,439,1,127.0,2035,Nàng TP
100.000000,393,2022-11-07 07:59:07+00:00,2022-11-07 07:59:07+00:00,,353,1,98.0,2112,Nàng TP
100.000000,393,2022-11-07 07:59:08+00:00,2022-11-07 07:59:08+00:00,,354,1,98.0,2112,Nàng TP
113.000000,393,2022-11-07 08:04:59+00:00,2022-11-07 08:04:59+00:00,,132,1,30.0,2130,Nàng TP
113.000000,393,2022-11-07 08:04:59+00:00,2022-11-07 08:04:59+00:00,,133,1,30.0,2130,Nàng TP
101.000000,393,2022-11-07 08:08:26+00:00,2022-11-07 08:08:26+00:00,,502,1,148.0,2072,Nàng TP
101.000000,393,2022-11-07 08:08:26+00:00,2022-11-07 08:08:26+00:00,,503,1,148.0,2072,Nàng TP
200.000000,393,2022-11-07 08:18:59+00:00,2022-11-07 08:18:59+00:00,,97,1,18.0,1959,Nàng TP
603.000000,401,2022-11-07 08:25:04+00:00,2022-11-07 08:25:04+00:00,,73,4,15.0,1971,nang
603.000000,400,2022-11-07 08:34:45+00:00,2022-11-07 08:34:45+00:00,,88,3,,1971,diem lean1
603.000000,400,2022-11-07 08:34:45+00:00,2022-11-07 08:34:45+00:00,,73,3,,1971,diem lean1
101.000000,401,2022-11-07 09:03:40+00:00,2022-11-07 09:03:40+00:00,,29,4,5.0,2126,nang
100.000000,401,2022-11-07 09:07:36+00:00,2022-11-07 09:07:36+00:00,,340,4,91.0,2114,nang
102.000000,403,2022-11-07 09:07:51+00:00,2022-11-07 09:07:51+00:00,,156,2,35.0,2135,TRANG TP
102.000000,403,2022-11-07 09:07:51+00:00,2022-11-07 09:07:51+00:00,,157,2,35.0,2135,TRANG TP
0.900000,403,2022-11-07 09:07:51+00:00,2022-11-07 09:07:51+00:00,,158,2,35.0,2135,TRANG TP
61.000000,403,2022-11-07 09:07:51+00:00,2022-11-07 09:07:51+00:00,,159,2,35.0,2135,TRANG TP
151.000000,403,2022-11-07 09:07:51+00:00,2022-11-07 09:07:51+00:00,,160,2,35.0,2135,TRANG TP
102.000000,403,2022-11-07 09:07:51+00:00,2022-11-07 09:07:51+00:00,,161,2,35.0,2135,TRANG TP
67.000000,403,2022-11-07 09:07:51+00:00,2022-11-07 09:07:51+00:00,,162,2,35.0,2135,TRANG TP
101.000000,400,2022-11-07 10:42:21+00:00,2022-11-07 10:42:21+00:00,,438,3,,2035,thien duc
201.000000,400,2022-11-07 10:45:55+00:00,2022-11-07 10:45:55+00:00,,427,3,,1961,thu duc
770.000000,400,2022-11-07 10:52:44+00:00,2022-11-07 10:52:44+00:00,,421,3,,2070,diem lean 1
113.000000,403,2022-11-07 11:28:51+00:00,2022-11-07 11:28:51+00:00,,109,2,21.0,2130,TRANG TP
75.000000,403,2022-11-07 11:28:51+00:00,2022-11-07 11:28:51+00:00,,110,2,21.0,2130,TRANG TP
182.000000,403,2022-11-07 11:28:51+00:00,2022-11-07 11:28:51+00:00,,111,2,21.0,2130,TRANG TP
3.300000,403,2022-11-07 11:28:51+00:00,2022-11-07 11:28:51+00:00,,112,2,21.0,2130,TRANG TP
63.000000,403,2022-11-07 11:28:51+00:00,2022-11-07 11:28:51+00:00,,113,2,21.0,2130,TRANG TP
75.000000,403,2022-11-07 11:28:51+00:00,2022-11-07 11:28:51+00:00,,114,2,21.0,2130,TRANG TP
603.000000,403,2022-11-07 13:00:31+00:00,2022-11-07 13:00:31+00:00,,88,2,14.0,1971,TRANG TP
