id,quantity,creator_id,created_at,updated_at,deleted_at,manufacture_product_id,manufacture_dept_id,task_id,order_id
3038,5.000000,400,2023-02-17 12:17:33+00:00,2023-02-17 12:17:33+00:00,,4882,3,1464,2686
3039,376.000000,400,2023-02-17 12:17:33+00:00,2023-02-17 12:17:33+00:00,,4883,3,1464,2686
3040,253.000000,400,2023-02-17 12:17:33+00:00,2023-02-17 12:17:33+00:00,,4884,3,1464,2686
3041,507.000000,400,2023-02-17 12:17:35+00:00,2023-02-17 12:17:35+00:00,,4885,3,1464,2686
3042,237.000000,400,2023-02-17 12:17:35+00:00,2023-02-17 12:17:35+00:00,,4886,3,1464,2686
3043,311.000000,400,2023-02-17 12:21:20+00:00,2023-02-17 12:21:20+00:00,,4891,3,1468,2685
3044,300.000000,400,2023-02-17 12:21:21+00:00,2023-02-17 12:21:21+00:00,,4892,3,1468,2685
3045,310.000000,400,2023-02-17 12:21:21+00:00,2023-02-17 12:21:21+00:00,,4893,3,1468,2685
3046,311.000000,400,2023-02-17 12:21:21+00:00,2023-02-17 12:21:21+00:00,,4894,3,1468,2685
3047,315.000000,400,2023-02-17 12:21:21+00:00,2023-02-17 12:21:21+00:00,,4895,3,1468,2685
3048,52.000000,400,2023-02-17 12:21:21+00:00,2023-02-17 12:21:21+00:00,,4896,3,1468,2685
3049,4.000000,400,2023-02-17 12:21:22+00:00,2023-02-17 12:21:22+00:00,,4897,3,1468,2685
3050,291.000000,400,2023-02-17 12:21:22+00:00,2023-02-17 12:21:22+00:00,,4898,3,1468,2685
3051,183.000000,400,2023-02-17 12:21:22+00:00,2023-02-17 12:21:22+00:00,,4899,3,1468,2685
3052,412.000000,400,2023-02-17 12:21:22+00:00,2023-02-17 12:21:22+00:00,,4900,3,1468,2685
3053,175.000000,400,2023-02-17 12:21:23+00:00,2023-02-17 12:21:23+00:00,,4901,3,1468,2685
3054,130.000000,400,2023-02-17 12:23:10+00:00,2023-02-17 12:23:10+00:00,,4353,3,1318,2888
3055,140.000000,400,2023-02-17 12:23:10+00:00,2023-02-17 12:23:10+00:00,,4354,3,1318,2888
3056,120.000000,400,2023-02-17 12:23:11+00:00,2023-02-17 12:23:11+00:00,,4355,3,1318,2888
3057,118.000000,400,2023-02-17 12:23:11+00:00,2023-02-17 12:23:11+00:00,,4356,3,1318,2888
3058,112.000000,400,2023-02-17 12:23:11+00:00,2023-02-17 12:23:11+00:00,,4357,3,1318,2888
3059,66.000000,400,2023-02-17 12:23:11+00:00,2023-02-17 12:23:11+00:00,,4358,3,1318,2888
3060,149.000000,400,2023-02-17 12:23:12+00:00,2023-02-17 12:23:12+00:00,,4359,3,1318,2888
3061,120.000000,400,2023-02-17 12:23:12+00:00,2023-02-17 12:23:12+00:00,,4360,3,1318,2888
3062,66.000000,400,2023-02-17 12:23:12+00:00,2023-02-17 12:23:12+00:00,,4361,3,1318,2888
3063,277.000000,400,2023-02-17 12:24:45+00:00,2023-02-17 12:24:45+00:00,,4310,3,1302,2875
3064,258.000000,400,2023-02-17 12:24:45+00:00,2023-02-17 12:24:45+00:00,,4311,3,1302,2875
3065,268.000000,400,2023-02-17 12:24:45+00:00,2023-02-17 12:24:45+00:00,,4312,3,1302,2875
3066,161.000000,400,2023-02-17 12:24:45+00:00,2023-02-17 12:24:45+00:00,,4313,3,1302,2875
3067,391.000000,400,2023-02-17 12:24:46+00:00,2023-02-17 12:24:46+00:00,,4314,3,1302,2875
