product_id,product_code,product_unit_id,purchase_order_quantity,purchase_order_id,is_complete,amount,vnd_exchange_rate,vnd_exchange
609,1-NY1132-CHA-00-HG,11718,250.000000,1123,1,2.790000,22800.0,63612.0
609,1-NY1132-CHA-00-HG,11718,2000.000000,217,1,2.790000,22800.0,63612.0
614,1-NY1132-CRM-00-HG,12584,1000.000000,718,0,2.790000,0.0,0.0
614,1-NY1132-CRM-00-HG,12584,1300.000000,1499,0,2.790000,22800.0,63612.0
614,1-NY1132-CRM-00-HG,12584,4000.000000,511,1,2.790000,22800.0,63612.0
617,1-NY1132-DKH-00-HG,11727,1000.000000,217,1,2.790000,22800.0,63612.0
625,1-NY1132-GCP-00-HG,11719,200.000000,1499,0,2.790000,22800.0,63612.0
625,1-NY1132-GCP-00-HG,11719,500.000000,217,1,2.790000,22800.0,63612.0
638,1-NY1132-LIL-00-HG,12606,1000.000000,511,1,2.790000,22800.0,63612.0
638,1-NY1132-LIL-00-HG,12606,900.000000,1499,0,2.790000,22800.0,63612.0
638,1-NY1132-LIL-00-HG,9379,200.000000,718,0,2.790000,0.0,0.0
656,1-NY1132-SAN-00-HG,12624,7000.000000,511,1,2.790000,22800.0,63612.0
656,1-NY1132-SAN-00-HG,12624,1600.000000,718,1,2.790000,0.0,0.0
656,1-NY1132-SAN-00-HG,12624,500.000000,964,1,2.790000,22800.0,63612.0
663,1-NY1132-TAN-00-HG,12631,1000.000000,511,1,2.790000,22800.0,63612.0
719,1-RECNYL-BLK-00-VJ,12687,100.000000,965,1,11.550000,22800.0,263340.0
719,1-RECNYL-BLK-00-VJ,12687,200.000000,1045,1,11.550000,22800.0,263340.0
728,1-NP322A-BMT-00-FT,11710,1000.000000,216,1,4.050000,0.0,0.0
730,1-NP322A-CIN-00-FT,11711,500.000000,1500,0,4.200000,22800.0,95760.0
730,1-NP322A-CIN-00-FT,11711,1000.000000,528,1,4.050000,22800.0,92340.0
730,1-NP322A-CIN-00-FT,11711,1000.000000,216,1,4.050000,0.0,0.0
736,1-NP322A-KOI-00-FT,11712,1000.000000,216,1,4.050000,0.0,0.0
737,1-NP322A-LAV-00-FT,11713,1000.000000,216,0,4.050000,0.0,0.0
737,1-NP322A-LAV-00-FT,11713,800.000000,1500,0,4.200000,22800.0,95760.0
739,1-NP322A-PUM-00-FT,11714,5000.000000,528,1,4.050000,22800.0,92340.0
739,1-NP322A-PUM-00-FT,11714,100.000000,854,1,4.050000,22800.0,92340.0
739,1-NP322A-PUM-00-FT,11714,1000.000000,216,1,4.050000,0.0,0.0
739,1-NP322A-PUM-00-FT,11714,1900.000000,1500,0,4.200000,22800.0,95760.0
741,1-NP322A-SAN-00-FT,12704,900.000000,1500,0,4.200000,22800.0,95760.0
741,1-NP322A-SAN-00-FT,12704,1000.000000,322,1,4.050000,22800.0,92340.0
741,1-NP322A-SAN-00-FT,12704,500.000000,528,1,4.050000,22800.0,92340.0
745,1-NP322A-HRZ-00-FT,11717,1900.000000,854,1,4.050000,22800.0,92340.0
745,1-NP322A-HRZ-00-FT,11717,1000.000000,267,1,4.200000,0.0,0.0
745,1-NP322A-HRZ-00-FT,11717,1000.000000,216,1,4.050000,0.0,0.0
745,1-NP322A-HRZ-00-FT,11717,2400.000000,1500,0,4.200000,22800.0,95760.0
749,1-NY4245-ASP-00-EV,12711,100.000000,387,1,5.400000,22800.0,123120.0
749,1-NY4245-ASP-00-EV,12711,150.000000,1267,0,5.400000,22800.0,123120.0
760,1-RNEW2R-BLK-00-ET,12722,330.000000,1385,0,6.250000,22800.0,142500.0
763,1-NYLO01-WHI-00-PA,12725,125.000000,627,0,0.000000,0.0,0.0
776,1-NYLO03-BLK-00-JP,11657,23.000000,201,1,0.000000,0.0,0.0
777,1-NY0000-BLK-00-PE,12739,2000.000000,491,1,3.000000,0.0,0.0
780,1-KATE00-AQA-00-AK,780,15.000000,1114,0,28000.000000,0.0,0.0
780,1-KATE00-AQA-00-AK,780,15.000000,1141,1,28000.000000,0.0,0.0
781,1-KATE00-AKL-00-AK,781,20.000000,833,1,28000.000000,0.0,0.0
782,1-KATE00-ABL-00-AK,782,30.000000,1423,1,28000.000000,0.0,0.0
782,1-KATE00-ABL-00-AK,782,5.000000,1770,1,28000.000000,0.0,0.0
782,1-KATE00-ABL-00-AK,782,15.000000,1108,1,28000.000000,0.0,0.0
784,1-KATE00-ASY-00-AK,17206,15.000000,480,1,28000.000000,0.0,0.0
786,1-KATE00-AAP-00-AK,786,13.000000,660,1,28000.000000,0.0,0.0
790,1-KATE00-TAN-00-HV,12752,1000.000000,691,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,1000.000000,1291,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,1000.000000,1759,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,1000.000000,224,0,1.100000,,
793,1-KATE00-BLK-00-HV,16044,1000.000000,259,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,2000.000000,1331,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,416.000000,1461,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,1000.000000,1440,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,16044,2000.000000,27,0,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,1000.000000,823,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,1000.000000,1704,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,1000.000000,1347,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,1000.000000,991,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,1000.000000,1089,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,3500.000000,933,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,2000.000000,357,1,1.100000,0.0,0.0
793,1-KATE00-BLK-00-HV,8209,1000.000000,606,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,8209,1000.000000,550,1,1.100000,22800.0,25080.0
793,1-KATE00-BLK-00-HV,16044,2000.000000,42,0,1.100000,22800.0,25080.0
796,1-KATE00-BAE-00-AK,796,15.000000,1141,1,28000.000000,0.0,0.0
799,1-KATE00-BRE-00-AK,17205,15.000000,1630,1,28000.000000,0.0,0.0
799,1-KATE00-BRE-00-AK,17205,10.000000,480,1,28000.000000,0.0,0.0
800,1-KATE00-BRO-00-AK,12760,50.000000,605,0,16000.000000,0.0,0.0
802,1-KATE00-BNL-00-HV,12762,600.000000,691,1,1.100000,22800.0,25080.0
807,1-KATE00-CBN-00-AK,8679,50.000000,35,0,60000.000000,0.0,0.0
807,1-KATE00-CBN-00-AK,8679,10.000000,55,1,60000.000000,0.0,0.0
807,1-KATE00-CBN-00-AK,8679,20.000000,645,1,28000.000000,0.0,0.0
807,1-KATE00-CBN-00-AK,8679,5.000000,170,1,28000.000000,0.0,0.0
807,1-KATE00-CBN-00-AK,8679,50.000000,515,1,28000.000000,0.0,0.0
810,1-KATE00-CAR-00-AK,17208,15.000000,515,0,28000.000000,0.0,0.0
810,1-KATE00-CAR-00-AK,17208,15.000000,480,1,28000.000000,0.0,0.0
811,1-KATE00-CBY-00-HV,12771,1000.000000,1556,1,1.100000,22800.0,25080.0
811,1-KATE00-CBY-00-HV,12771,1000.000000,954,1,1.100000,22800.0,25080.0
811,1-KATE00-CBY-00-HV,12771,1500.000000,751,1,1.100000,22800.0,25080.0
811,1-KATE00-CBY-00-HV,12771,1000.000000,301,0,1.100000,0.0,0.0
811,1-KATE00-CBY-00-HV,10333,1500.000000,3,0,1.100000,22800.0,25080.0
811,1-KATE00-CBY-00-HV,12771,1000.000000,606,1,1.100000,22800.0,25080.0
813,1-KATE00-CHL-00-AK,17204,100.000000,802,1,28000.000000,0.0,0.0
815,1-KATE00-CRM-00-HV,10329,1000.000000,3,1,1.100000,22800.0,25080.0
817,1-KATE00-CYL-00-AK,12777,15.000000,646,1,30000.000000,0.0,0.0
822,1-KATE00-DBN-00-AK,822,5.000000,170,1,28000.000000,0.0,0.0
824,1-KATE00-DGR-00-AK,16180,13.000000,532,1,28000.000000,0.0,0.0
825,1-KATE00-DOR-00-AK,11380,15.000000,1676,1,28000.000000,0.0,0.0
825,1-KATE00-DOR-00-AK,11380,7.000000,185,1,28000.000000,0.0,0.0
826,1-KATE00-DRE-00-AK,18383,15.000000,906,1,28000.000000,0.0,0.0
828,1-KATE00-FGR-00-AK,12788,20.000000,1689,1,28000.000000,0.0,0.0
831,1-KATE00-GFH-00-AK,831,25.000000,1397,1,28000.000000,0.0,0.0
831,1-KATE00-GFH-00-AK,831,15.000000,1439,1,28000.000000,0.0,0.0
831,1-KATE00-GFH-00-AK,831,10.000000,1630,1,28000.000000,0.0,0.0
832,1-KATE00-GSK-00-AK,832,20.000000,1,0,28000.000000,0.0,0.0
832,1-KATE00-GSK-00-AK,832,10.000000,862,1,28000.000000,0.0,0.0
839,1-KATE00-GRT-00-AK,16172,20.000000,454,1,28000.000000,0.0,0.0
