quantity,creator_id,created_at,updated_at,deleted_at,manufacture_product_id,manufacture_dept_id,task_id,order_id
128.000000,400,2022-11-22 13:10:27+00:00,2022-11-22 13:10:27+00:00,,1094,3,343,2246
108.000000,400,2022-11-22 13:12:44+00:00,2022-11-22 13:12:44+00:00,,1217,3,380,2240
100.000000,400,2022-11-22 13:12:44+00:00,2022-11-22 13:12:44+00:00,,1220,3,380,2240
66.000000,400,2022-11-22 13:12:44+00:00,2022-11-22 13:12:44+00:00,,1221,3,380,2240
239.000000,400,2022-11-22 13:14:00+00:00,2022-11-22 13:14:00+00:00,,1080,3,340,2245
210.000000,400,2022-11-22 13:14:00+00:00,2022-11-22 13:14:00+00:00,,1081,3,340,2245
200.000000,400,2022-11-22 13:14:00+00:00,2022-11-22 13:14:00+00:00,,1084,3,340,2245
128.000000,400,2022-11-22 13:14:00+00:00,2022-11-22 13:14:00+00:00,,1085,3,340,2245
131.000000,400,2022-11-22 13:33:49+00:00,2022-11-22 13:33:49+00:00,,1270,3,399,2247
136.000000,400,2022-11-22 13:33:49+00:00,2022-11-22 13:33:49+00:00,,1271,3,399,2247
125.000000,400,2022-11-22 13:33:49+00:00,2022-11-22 13:33:49+00:00,,1272,3,399,2247
178.000000,400,2022-11-22 13:33:49+00:00,2022-11-22 13:33:49+00:00,,1274,3,399,2247
33.000000,400,2022-11-22 13:43:55+00:00,2022-11-22 13:43:55+00:00,,1150,3,364,2156
30.000000,400,2022-11-22 13:43:55+00:00,2022-11-22 13:43:55+00:00,,1155,3,364,2156
36.000000,400,2022-11-22 13:51:14+00:00,2022-11-22 13:51:14+00:00,,1160,3,366,2155
36.000000,400,2022-11-22 13:51:14+00:00,2022-11-22 13:51:14+00:00,,1161,3,366,2155
45.000000,400,2022-11-22 13:51:14+00:00,2022-11-22 13:51:14+00:00,,1162,3,366,2155
45.000000,400,2022-11-22 13:51:14+00:00,2022-11-22 13:51:14+00:00,,1163,3,366,2155
35.000000,400,2022-11-22 13:51:14+00:00,2022-11-22 13:51:14+00:00,,1164,3,366,2155
30.000000,400,2022-11-22 13:51:14+00:00,2022-11-22 13:51:14+00:00,,1168,3,366,2155
41.000000,400,2022-11-22 13:51:15+00:00,2022-11-22 13:51:15+00:00,,1170,3,366,2155
18.000000,400,2022-11-22 13:51:15+00:00,2022-11-22 13:51:15+00:00,,1171,3,366,2155
32.000000,400,2022-11-22 13:54:15+00:00,2022-11-22 13:54:15+00:00,,1189,3,372,2138
48.000000,400,2022-11-22 13:54:15+00:00,2022-11-22 13:54:15+00:00,,1190,3,372,2138
35.000000,400,2022-11-22 13:54:15+00:00,2022-11-22 13:54:15+00:00,,1191,3,372,2138
18.000000,400,2022-11-22 13:54:15+00:00,2022-11-22 13:54:15+00:00,,1194,3,372,2138
38.000000,400,2022-11-22 15:11:04+00:00,2022-11-22 15:11:04+00:00,,1173,3,368,2157
40.000000,400,2022-11-22 15:11:04+00:00,2022-11-22 15:11:04+00:00,,1174,3,368,2157
48.000000,400,2022-11-22 15:11:04+00:00,2022-11-22 15:11:04+00:00,,1175,3,368,2157
32.000000,400,2022-11-22 15:11:04+00:00,2022-11-22 15:11:04+00:00,,1176,3,368,2157
33.000000,400,2022-11-22 15:11:04+00:00,2022-11-22 15:11:04+00:00,,1177,3,368,2157
36.000000,400,2022-11-22 15:11:05+00:00,2022-11-22 15:11:05+00:00,,1178,3,368,2157
30.000000,400,2022-11-22 15:11:05+00:00,2022-11-22 15:11:05+00:00,,1179,3,368,2157
5.400000,400,2022-11-22 15:11:05+00:00,2022-11-22 15:11:05+00:00,,1180,3,368,2157
0.400000,400,2022-11-22 15:11:05+00:00,2022-11-22 15:11:05+00:00,,1181,3,368,2157
30.000000,400,2022-11-22 15:11:05+00:00,2022-11-22 15:11:05+00:00,,1182,3,368,2157
21.000000,400,2022-11-22 15:11:05+00:00,2022-11-22 15:11:05+00:00,,1183,3,368,2157
44.000000,400,2022-11-22 15:11:05+00:00,2022-11-22 15:11:05+00:00,,1184,3,368,2157
19.000000,400,2022-11-22 15:11:05+00:00,2022-11-22 15:11:05+00:00,,1185,3,368,2157
38.000000,400,2022-11-22 15:16:18+00:00,2022-11-22 15:16:18+00:00,,1146,3,364,2156
40.000000,400,2022-11-22 15:16:18+00:00,2022-11-22 15:16:18+00:00,,1147,3,364,2156
48.000000,400,2022-11-22 15:16:18+00:00,2022-11-22 15:16:18+00:00,,1148,3,364,2156
32.000000,400,2022-11-22 15:16:18+00:00,2022-11-22 15:16:18+00:00,,1149,3,364,2156
36.000000,400,2022-11-22 15:16:18+00:00,2022-11-22 15:16:18+00:00,,1151,3,364,2156
36.000000,400,2022-11-22 15:16:19+00:00,2022-11-22 15:16:19+00:00,,1152,3,364,2156
6.000000,400,2022-11-22 15:16:19+00:00,2022-11-22 15:16:19+00:00,,1153,3,364,2156
0.400000,400,2022-11-22 15:16:19+00:00,2022-11-22 15:16:19+00:00,,1154,3,364,2156
19.000000,400,2022-11-22 15:16:19+00:00,2022-11-22 15:16:19+00:00,,1158,3,364,2156
109.000000,400,2022-11-22 15:39:01+00:00,2022-11-22 15:39:01+00:00,,1206,3,131,2149
18.000000,400,2022-11-22 15:39:01+00:00,2022-11-22 15:39:01+00:00,,1207,3,131,2149
30.000000,400,2022-11-22 15:43:17+00:00,2022-11-22 15:43:17+00:00,,1165,3,366,2155
6.000000,400,2022-11-22 15:43:17+00:00,2022-11-22 15:43:17+00:00,,1166,3,366,2155
0.400000,400,2022-11-22 15:43:17+00:00,2022-11-22 15:43:17+00:00,,1167,3,366,2155
