quantity,created_at,updated_at,deleted_at,production_tracking_id,order_id,prod_not_exist_order_id,working_time_id,manufacture_dept_id,target_quantity
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,10,7,110.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,11,7,110.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,12,7,110.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,13,7,110.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,14,7,110.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,15,7,28.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,10,,1.0,16,7,0.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,1,8,0.00
52.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,2,8,55.00
68.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,3,8,55.00
51.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,4,8,55.00
64.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,5,8,55.00
54.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,6,8,55.00
100.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,7,8,55.00
52.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,8,8,55.00
64.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,9,8,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,10,8,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,11,8,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,12,8,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,13,8,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,14,8,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,15,8,14.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,11,,2.0,16,8,0.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,1,9,0.00
48.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,2,9,33.00
40.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,3,9,33.00
41.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,4,9,33.00
45.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,5,9,33.00
40.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,6,9,33.00
38.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,7,9,33.00
36.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,8,9,33.00
31.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,9,9,33.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,10,9,33.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,11,9,33.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,12,9,33.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,13,9,33.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,14,9,33.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,15,9,8.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,12,,3.0,16,9,0.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,1,10,0.00
47.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,2,10,55.00
68.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,3,10,55.00
57.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,4,10,55.00
68.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,5,10,55.00
42.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,6,10,55.00
28.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,7,10,55.00
71.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,8,10,55.00
99.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,9,10,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,10,10,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,11,10,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,12,10,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,13,10,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,14,10,55.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,15,10,14.00
0.00,2022-10-24 03:00:00+00:00,2022-10-24 03:00:00+00:00,,13,,4.0,16,10,0.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,1,5,0.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,2,5,0.00
202.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,3,5,20.00
129.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,4,5,110.00
188.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,5,5,110.00
115.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,6,5,110.00
108.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,7,5,110.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,8,5,110.00
327.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,9,5,110.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,10,5,110.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,11,5,110.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,12,5,110.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,13,5,110.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,14,5,110.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,15,5,28.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,14,,6.0,16,5,0.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,1,6,0.00
48.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,2,6,55.00
65.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,3,6,55.00
57.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,4,6,55.00
68.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,5,6,55.00
100.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,6,6,55.00
82.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,7,6,55.00
54.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,8,6,55.00
42.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,9,6,55.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,10,6,55.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,11,6,55.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,12,6,55.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,13,6,55.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,14,6,55.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,15,6,14.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,15,,5.0,16,6,0.00
0.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,16,,1.0,1,7,0.00
93.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,16,,1.0,2,7,110.00
72.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,16,,1.0,3,7,110.00
113.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,16,,1.0,4,7,110.00
139.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,16,,1.0,5,7,110.00
148.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,16,,1.0,6,7,110.00
108.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,16,,1.0,7,7,110.00
106.00,2022-10-25 03:00:00+00:00,2022-10-25 03:00:00+00:00,,16,,1.0,8,7,110.00
